season,tm_team_name,asa_team_id,observed_at,value_snapshot_type,n_prior_fill,squad_value_eur,att_value_pct,def_value_pct,tilt,value_wtd_age,avg_age,dp_value_share,n_players,n_att,n_def,n_gk,league,canon_team_name,coverage_confidence
2026,Ascoli Calcio,,2026-07-06T11:36:50.455777+00:00,current_scrape,0,7900000.0,0.3639240506329114,0.2911392405063291,0.07278481012658228,25.164556962025316,24.741935483870968,0.22784810126582278,31,11,10,4,IT2,,full
2026,Benevento Calcio,,2026-07-06T11:36:50.455777+00:00,current_scrape,0,10475000.0,0.36515513126491644,0.28878281622911695,0.0763723150357995,25.646778042959426,24.41176470588235,0.1957040572792363,34,11,13,2,IT2,,full
2026,Calcio Padova,,2026-07-06T11:36:50.455777+00:00,current_scrape,0,10775000.0,0.3062645011600928,0.2296983758700696,0.07656612529002318,26.988399071925755,26.708333333333332,0.30162412993039445,24,7,7,2,IT2,Padova,full
2026,Carrarese Calcio 1908,,2026-07-06T11:36:50.455777+00:00,current_scrape,0,14075000.0,0.2113676731793961,0.4866785079928952,-0.2753108348134991,25.126110124333927,26.565217391304348,0.46181172291296624,23,5,8,4,IT2,Carrarese,full
2026,Cesena FC,,2026-07-06T11:36:50.455777+00:00,current_scrape,0,19250000.0,0.3155844155844156,0.38961038961038963,-0.07402597402597405,25.292207792207794,24.483870967741936,0.45194805194805193,31,8,12,3,IT2,Cesena,full
2026,FC Empoli,,2026-07-06T11:36:50.455777+00:00,current_scrape,0,25525000.0,0.40842311459353575,0.21449559255631734,0.1939275220372184,22.448579823702254,22.551724137931036,0.395690499510284,29,10,5,5,IT2,Empoli,full
2026,FC Südtirol,,2026-07-06T11:36:50.455777+00:00,current_scrape,0,16225000.0,0.10785824345146379,0.5577812018489985,-0.4499229583975347,24.562403697996917,26.428571428571427,0.4930662557781202,21,3,8,3,IT2,Sudtirol,full
2026,Hellas Verona,,2026-07-06T11:36:50.455777+00:00,current_scrape,0,53875000.0,0.33039443155452436,0.40464037122969837,-0.07424593967517401,24.54477958236659,23.741935483870968,0.33410672853828305,31,10,9,4,IT2,,full
2026,LR Vicenza,,2026-07-06T11:36:50.455777+00:00,current_scrape,0,9600000.0,0.23697916666666666,0.3854166666666667,-0.14843750000000003,26.145833333333332,25.62962962962963,0.28125,27,7,7,3,IT2,,full
2026,Mantova 1911,,2026-07-06T11:36:50.455777+00:00,current_scrape,0,19250000.0,0.44155844155844154,0.3168831168831169,0.12467532467532466,24.31038961038961,25.40740740740741,0.3116883116883117,27,11,7,3,IT2,Mantova,full
2026,Modena FC,,2026-07-06T11:36:50.455777+00:00,current_scrape,0,22300000.0,0.17488789237668162,0.5246636771300448,-0.3497757847533632,24.08408071748879,24.26086956521739,0.4484304932735426,23,6,8,4,IT2,Modena,full
2026,Palermo FC,,2026-07-06T11:36:50.455777+00:00,current_scrape,0,48150000.0,0.24402907580477673,0.411214953271028,-0.1671858774662513,27.339563862928348,27.275862068965516,0.24922118380062305,29,6,11,3,IT2,Palermo,full
2026,Pisa Sporting Club,,2026-07-06T11:36:50.455777+00:00,current_scrape,0,74225000.0,0.31357359380262717,0.21892893230043786,0.09464466150218931,24.49545301448299,24.305555555555557,0.25597844392051194,36,12,10,4,IT2,,full
2026,SS Arezzo,,2026-07-06T11:36:50.455777+00:00,current_scrape,0,9800000.0,0.3979591836734694,0.1913265306122449,0.2066326530612245,25.727040816326532,26.655172413793103,0.35714285714285715,29,8,9,4,IT2,,full
2026,SS Juve Stabia,,2026-07-06T11:36:50.455777+00:00,current_scrape,0,12350000.0,0.15182186234817813,0.4291497975708502,-0.2773279352226721,25.979757085020243,25.923076923076923,0.3805668016194332,26,6,8,2,IT2,Juve Stabia,full
2026,UC Sampdoria,,2026-07-06T11:36:50.455777+00:00,current_scrape,0,17950000.0,0.233983286908078,0.22284122562674094,0.011142061281337046,25.974930362116993,26.347826086956523,0.362116991643454,23,5,6,4,IT2,Sampdoria,full
2026,US Avellino 1912,,2026-07-06T11:36:50.455777+00:00,current_scrape,0,13350000.0,0.36329588014981273,0.40074906367041196,-0.03745318352059923,27.39887640449438,27.366666666666667,0.29213483146067415,30,11,11,2,IT2,US Avellino,full
2026,US Catanzaro,,2026-07-06T11:36:50.455777+00:00,current_scrape,0,26200000.0,0.5419847328244275,0.1316793893129771,0.4103053435114504,23.40935114503817,24.884615384615383,0.5534351145038168,26,11,7,3,IT2,Catanzaro,full
2026,US Cremonese,,2026-07-06T11:36:50.455777+00:00,current_scrape,0,49550000.0,0.3546922300706357,0.35418768920282545,0.0005045408678102659,26.77396569122099,25.205128205128204,0.2684157416750757,39,12,14,4,IT2,,full
2026,Virtus Entella,,2026-07-06T11:36:50.455777+00:00,current_scrape,0,12025000.0,0.2577962577962578,0.1995841995841996,0.058212058212058215,25.534303534303536,25.96969696969697,0.3076923076923077,33,9,10,3,IT2,Virtus Entella,full
